SSC ID,Station Name,Country,Latitude,Longitude,IOC code,PTWC code,GLOSS ID,UHSLC ID,PSMSL ID,SONEL GPS,SONEL TG,Details,Edit
SSC-eila,Eugene Island,United States,29.37,-91.39,eila,eila,,,440,,,[details],[edit]
SSC-elak,Elfin Cove,United States,58.19,-136.34,"elak, elak2",elak,,,,,,[details],[edit]
SSC-elat,Elat,Israel,29.5,34.92,elat,,,,"1022, 2148, 2149",,,[details],[edit]
SSC-ellb,Elliot,United States,47.6,-122.34,ellb,ellb,,,127,"3525, 3526, 837",2363,[details],[edit]
SSC-elli,Elliston,Australia,-33.63,134.87,,,,,1339,,,[details],[edit]
SSC-elpo,El Porvenir,Panama,9.56,-78.95,elpo,elpo,,739,,,,[details],[edit]
SSC-emam,Emam Hassan,Iran,29.83,50.25,,,,,1868,,,[details],[edit]
SSC-emde,Emden,Germany,53.38,7.22,,,,,624,2527,2526,[details],[edit]
SSC-enew,Enewetok,Marshall Islands,11.43,162.38,,,,6,"1384, 665",,,[details],[edit]
SSC-engg,Enggano,Indonesia,-5.35,102.28,engg,engg,,,,2939,2938,[details],[edit]
SSC-ense,Ensenada,Mexico,31.85,-116.63,ense,ense,,317,795,"2292, 2294",2293,[details],[edit]
SSC-epme,East Port,United States,44.9,-66.99,"epme, epme2",epme,,740,332,670,2354,[details],[edit]
SSC-eptx,Eagle Point,United States,29.48,-94.92,,eptx,,,,,,[details],[edit]
SSC-erdek,Erdek,Turkey,40.38,27.85,,,,,1598,2023,2151,[details],[edit]
SSC-erdem,Erdemli,Turkey,36.57,34.25,erdem,,,,2009,2652,2651,[details],[edit]
SSC-ereg,Ereglisi,Turkey,41.28,31.42,,,,,582,,,[details],[edit]
SSC-esas,Esashi,Japan,41.87,140.13,,,,,1605,,,[details],[edit]
SSC-esbj,Esbjerg,Denmark,55.46,8.44,,,,,80,"2062, 3003",2241,[details],[edit]
SSC-esme,Esmeraldas,Ecuador,0.98,-79.95,,,,,1498,2048,2147,[details],[edit]
SSC-espe,Esperance,Australia,-33.87,121.9,espe,espe,54.0,176,"1114, 1127",2059,2109,[details],[edit]
SSC-espr,Bahia Esperanza,Argentina,-63.33,-56.92,espr,espr,185.0,601,"1889, 988",3589,2860,[details],[edit]
SSC-estr,Puerto Estrella,Colombia,12.36,-71.31,estr,estr,,,,,,[details],[edit]
SSC-eucl,Eucla,Australia,-31.72,128.87,,,,,"1133, 1134",,,[details],[edit]
SSC-evan,Evans Head,Australia,-29.12,153.43,,,,,1229,,,[details],[edit]
SSC-even,Evenskjaer,Norway,68.58,16.55,,,,,531,,,[details],[edit]
SSC-exmo,Exmouth,Australia,-21.95,114.14,,,,,1762,3234,3233,[details],[edit]
SSC-exum,Exuma,Bahamas,23.78,-76.1,,,12.0,256,1824,,2797,[details],[edit]
SSC-fair,Gilmore Creek Observatory,United States,64.98,-147.5,,,,,,671,,[details],[edit]
SSC-faja,Fajardo,Puerto Rico,18.33,-65.63,faja,faja,,783,2211,,,[details],[edit]
SSC-fama,Famagusta,Cyprus,35.12,33.95,,,,,"2023, 2145, 436",,,[details],[edit]
SSC-fann,Fanning Island,Kiribati,3.9,-159.38,,,,12,"1361, 1741, 1990",,,[details],[edit]
SSC-faoi,Fao,Iraq,29.97,48.5,,,,,1989,,,[details],[edit]
SSC-faro,Farobara,Portugal,36.98,-7.87,,,,,1483,,,[details],[edit]
SSC-fbfl,Fernandina Beach,United States,30.67,-81.47,"fbfl, fbfl2",fbfl,,240,112,,,[details],[edit]
SSC-feca,Fecamp,France,49.77,0.35,,,,,482,,,[details],[edit]
SSC-fedo,Fedorova (Cheluskin Mys),Russia,77.72,104.3,,,,,601,,,[details],[edit]
SSC-ferg,Cape Ferguson,Australia,-19.28,147.06,ferg,ferg,60.0,334,"1492, 584, 637, 963",858,"2321, 2585",[details],[edit]
SSC-ferl,Ferrol,Spain,43.46,-8.33,"fer1, fer2",fer1,,,"2052, 2053",,,[details],[edit]
SSC-fern,Fernando de Noronha,Brazil,-3.83,-32.4,,,198.0,203,"1566, 1625, 1829, 1973",,2865,[details],[edit]
SSC-feth,Fethiye,Turkey,36.62,29.09,feth,feth,,,,,,[details],[edit]
SSC-figu,La Figueirette,France,43.48,6.93,"figu, figu2",figu,,,2232,"3194, 3541",3165,[details],[edit]
SSC-fish,Fishguard,United Kingdom,52.01,-4.98,fish,,,,"1731, 939",,,[details],[edit]
SSC-flee,Fleetwood,United Kingdom,53.93,-3.0,,,,,1486,,,[details],[edit]
SSC-flin,Flin Flon,Canada,54.73,-101.98,,,,,,672,,[details],[edit]
SSC-flma,Borden Flats Light (Fall River),United States,41.7,-71.2,flma,"fama, flma",,,,,,[details],[edit]
SSC-fmfl,Fort Myers,United States,26.65,-81.87,"fmfl, fmfl2",fmfl,,,1106,3521,3520,[details],[edit]
SSC-fogl,Foglo / Degerby,Aland Islands,60.03,20.38,,,,,249,2589,2588,[details],[edit]
SSC-fong,Fongafale,Tuvalu,-8.5,179.2,fong,fong,121.0,25,"1452, 1839",865,2167,[details],[edit]
SSC-forc,Forcados,Nigeria,5.35,5.35,,,,,389,,,[details],[edit]
SSC-form,Formentera,Spain,38.73,1.42,form,,,,2060,,,[details],[edit]
SSC-fors,Forsmark,Sweden,60.41,18.21,,,,,2103,,,[details],[edit]
SSC-fort,Fortaleza,Brazil,-3.72,-38.47,fort,fort,336.0,283,559,"1921, 3455, 673",2300,[details],[edit]
SSC-fortd,Fort Dauphin,Madagascar,-25.02,47.0,,,271.0,,,,2886,[details],[edit]
SSC-fortz,Fort Phrachula Chomklao (Pom Phrachun),Thailand,13.55,100.58,,,,,444,2632,2631,[details],[edit]
SSC-fosm,Fos-sur-Mer,France,43.4,4.89,fosm,,,,"2234, 969",3540,3163,[details],[edit]
SSC-fowl,Fowlers Bay,Australia,-32.0,132.43,,,,,1502,,,[details],[edit]
SSC-fpga,Fort Pulaski,United States,32.03,-80.9,"fpga, fpga2",fpga,289.0,752,395,2721,2720,[details],[edit]
SSC-fpnt,San Francisco,United States,37.81,-122.47,"fpnt, fpnt2",fpnt,158.0,551,10,"1886, 3024, 3028, 3094, 3095",2378,[details],[edit]
SSC-fptx,Free Port,United States,28.95,-95.31,fptx,fptx,,,725,,,[details],[edit]
SSC-fran,Franklin Harbor,Australia,-33.68,136.93,,,,,402,,,[details],[edit]
SSC-fray,Fray Bentos,Uruguay,-33.12,-58.32,,,,,794,,,[details],[edit]
SSC-fred,Fredericia,Denmark,55.56,9.75,,,,,81,,,[details],[edit]
SSC-fredg,Frederikshavn,Denmark,57.44,10.55,,,,,91,,,[details],[edit]
SSC-frem,Fremantle,Australia,-32.05,115.73,,,53.0,175,"111, 114",812,2315,[details],[edit]
SSC-fren,"Tern, French Frigate Shoals",United States,23.87,-166.28,fren,fren,107.0,14,"1372, 2192",,2840,[details],[edit]
SSC-frih,Friday Harbor,United States,48.55,-123.01,frih,frih,,,384,2689,2688,[details],[edit]
SSC-frob,Frobisher Bay,Canada,63.75,-68.53,,,,,1139,,,[details],[edit]
SSC-frot,Mausundvaer,Norway,63.87,8.67,,,,,,2949,2948,[details],[edit]
SSC-frtr,Frontera,Mexico,18.15,-94.27,frtr,frtr,,,,,,[details],[edit]
SSC-ftfr,Fort-de-France,France,14.6,-61.06,"ftfr, ftfr2",ftfr,338.0,,"1582, 1942","2503, 3220",1764,[details],[edit]
SSC-fuev,Fuerteventura,Spain,28.49,-13.86,fue2,,,,2048,3135,3134,[details],[edit]
SSC-fuka,Fukaura,Japan,40.65,139.93,fuka,fuka,,,"121, 1317",,,[details],[edit]
SSC-fuku,Fukue,Japan,32.7,128.85,,,,,1101,,,[details],[edit]
SSC-fulf,Fulford Harbour,Canada,48.77,-123.45,,,,,688,,,[details],[edit]
SSC-funa,Funafuti,Tuvalu,-8.53,179.19,,funa,,,,,,[details],[edit]
SSC-func,Funchal,Portugal,32.39,-16.55,,,250.0,218,"1030, 2024",1901,"2102, 2788",[details],[edit]
SSC-furu,Furuogrund,Sweden,64.92,21.23,,,,,203,844,2320,[details],[edit]
SSC-futu,Futuna Island,France,-14.3,-178.16,futu,futu,,,2244,"3113, 3385",3112,[details],[edit]
SSC-fyns,Fynshav,Denmark,55.0,9.99,,,,,1197,3577,3576,[details],[edit]
SSC-gade,Gadeokdo,South Korea,35.02,128.81,,,,,1445,,,[details],[edit]
SSC-galw,Galway,Ireland,53.27,-9.03,,,,,1083,,,[details],[edit]
SSC-gand,Gandia,Spain,39.0,-0.15,gand,,,,2058,,,[details],[edit]
SSC-gang,Gangra,India,21.95,88.02,,,,,1369,,,[details],[edit]
SSC-ganm,Gan,Maldives,-0.69,73.15,ganm,ganm,27.0,109,"1025, 1481, 1661, 1707",3412,2801,[details],[edit]
SSC-gaom,Gao,Mali,16.25,359.99,,,,,,2569,,[details],[edit]
SSC-gaor,Garibaldi,United States,45.56,-123.91,gaor,gaor,,,"1285, 2214",3530,"3528, 3529",[details],[edit]
SSC-garc,Diego Garcia,United Kingdom,-7.23,72.43,garc,garc,26.0,104,"1740, 1982, 2190, 947","2553, 664","2181, 3587",[details],[edit]
SSC-gata,Gaeta,Italy,41.21,13.59,GA37,,,,2137,,,[details],[edit]
SSC-gbit,Great Barrier Island,New Zealand,-36.19,175.49,gbit,gbit,,,,,,[details],[edit]
SSC-gdan,Gdansk/nowy Port,Poland,54.4,18.68,,,,,64,3372,3371,[details],[edit]
SSC-gdyn,Gdynia,Poland,54.53,18.55,,,,,364,,,[details],[edit]
SSC-geds,Gedser,Denmark,54.57,11.93,,,,837,120,2063,2229,[details],[edit]
SSC-geel,Geelong,Australia,-38.09,144.39,,,,,"1117, 1125",,,[details],[edit]
SSC-geib,Geiberga (Geiberga Ostrov),Russia,77.6,101.52,,,,,648,,,[details],[edit]
SSC-gene,Geneffe,Egypt,30.17,32.57,,,,,422,,,[details],[edit]
SSC-genel,General Dynamics Pier,United States,33.02,-79.92,,,,,1721,,,[details],[edit]
SSC-genv,Genova,Italy,44.41,8.93,GE25,genv,,,"2090, 59",678,2250,[details],[edit]
SSC-geoj,Geojedo,South Korea,34.8,128.7,,,,,2040,,,[details],[edit]
SSC-geom,Geomundo,South Korea,34.03,127.31,,,,,1546,,,[details],[edit]
SSC-geor,George Town,Cayman Islands,19.3,-81.38,geor,geor,,,"1422, 1426","1880, 3523","2140, 2731",[details],[edit]
SSC-geort,Georgetown,Australia,-41.13,146.85,,,,,"1120, 1124",,,[details],[edit]
SSC-geory,Georgetown,Guyana,6.8,-58.17,,,,,305,,,[details],[edit]
SSC-gera,Geraldton,Australia,-28.78,114.6,,,,,"1031, 1043",,,[details],[edit]
SSC-geti,Geting,Malaysia,6.23,102.1,,,,326,1703,918,2324,[details],[edit]
SSC-giba,Gibara,Cuba,21.12,-76.13,,,276.0,244,563,,2889,[details],[edit]
SSC-gibr,Gibraltar,United Kingdom,36.13,-5.35,"gibr, gibr2",gibr,248.0,289,"2055, 2117, 490, 981","2232, 3373","2231, 3462, 3463",[details],[edit]
SSC-gijo,Gijon,Spain,43.56,-5.7,gij2,,,,"1871, 507",,,[details],[edit]
SSC-gila,Grand Isle,United States,29.26,-89.96,"gila, gila2",gila,,765,526,1881,2376,[details],[edit]
SSC-ging,Gingerville Creek,United States,38.96,-76.56,,,,,1203,,,[details],[edit]
SSC-gino,Ginostra,Italy,38.78,15.19,GI20,,,,2138,,,[details],[edit]
SSC-girn,Girne,Cyprus,35.35,33.33,,,,,"1911, 2022",,,[details],[edit]
SSC-gist,Gisborne,New Zealand,-38.68,178.02,gist,gist,,78,1613,,,[details],[edit]
SSC-glad,Gladstone,Australia,-23.85,151.31,,,,,"1480, 825",,,[details],[edit]
SSC-glsv,Kiev/golosiiv,Ukraine,50.36,30.5,,,,,,681,,[details],[edit]
SSC-gmas,Guts Maspalomas,Spain,27.76,-15.63,,,,,,"2418, 736",,[details],[edit]
SSC-gode,Ggao (greenbelt),United States,39.02,-76.83,,,,,,682,,[details],[edit]
SSC-godt,"Nuuk, Godthaab",Denmark,64.17,-51.73,nuuk,,225.0,820,915,3584,2877,[details],[edit]
SSC-gohe,Goheung,South Korea,34.48,127.34,,,,,2041,,,[details],[edit]
SSC-gokc,Gokceada,Turkey,40.23,25.89,gokc,,,,2015,,,[details],[edit]
SSC-gold,Gold Coast Seaway,Australia,-27.95,153.42,,,,,"1465, 1704, 1722",3230,3229,[details],[edit]
SSC-goldf,Gold River,Canada,49.68,-126.12,,,,,1827,,,[details],[edit]
SSC-goldg,Goldstone Deep Space Tracking Station,United States,35.43,-116.89,,,,,,683,,[details],[edit]
SSC-golo,Golomianyi (Golomianyi Ostrov),Russia,79.55,90.62,,,,,729,,,[details],[edit]
SSC-good,Goods Island,Australia,-10.56,142.15,,,,,1368,,,[details],[edit]
SSC-gote,Goteborg-Ringon,Sweden,57.72,11.97,,,,,2133,2079,3106,[details],[edit]
SSC-goto,Goteborg Torshamnen,Sweden,57.68,11.79,goto,,233.0,819,"1236, 74",2079,"2328, 2738",[details],[edit]
SSC-goug,Gough Island,South Africa,-40.32,-9.95,goug,goug,,,,684,,[details],[edit]
SSC-gptx,Galveston Pier,United States,29.31,-94.79,"gptx, gptx2","gptx, pptx",217.0,"767, 775","161, 828","1934, 2973, 676","2355, 2356",[details],[edit]
SSC-gran,Granville Harbour,Australia,-41.78,145.0,,,,,1375,,,[details],[edit]
SSC-grand,"Grand Pass, Chandeleur",United States,30.13,-89.22,,,,,1662,,,[details],[edit]
SSC-granr,Granadilla,Spain,28.09,-16.49,,,,,2050,,,[details],[edit]
SSC-gras,Observatoire De Calern - Oca,France,43.75,6.92,,,,,,685,,[details],[edit]
SSC-greg,Gregorio,Chile,-52.65,-70.21,"greg, greg2",greg,,,,,,[details],[edit]
SSC-grey,Greymouth,New Zealand,-42.45,171.2,,,,,993,,,[details],[edit]
SSC-grin,Grindavik,Iceland,63.83,-22.43,,,,,877,,,[details],[edit]
SSC-gron,Gronskar,Sweden,59.28,19.03,,,,,77,,,[details],[edit]
SSC-gronx,Grondines,Canada,46.58,-72.03,,,,,387,,,[details],[edit]
SSC-groo,Groote Eylandt,Australia,-13.86,136.42,groo,groo,,,"1160, 1177",,,[details],[edit]
SSC-gros,Gros Cacouna,Canada,47.93,-69.52,,,,,1572,,,[details],[edit]
SSC-guam,Guam,United States,13.44,144.65,"guam, guam2",guam,149.0,53,540,687,"2371, 3107",[details],[edit]
SSC-guan,Guantanamo Bay,Cuba,19.9,-75.15,,,,251,"1890, 418",,,[details],[edit]
SSC-guao,Urumqi,China,43.59,87.63,,,,,,688,,[details],[edit]
SSC-guat,Guat,Guatemala,14.59,-90.52,,,,,,2419,,[details],[edit]
SSC-guay,Guaymas,Mexico,27.93,-110.9,,,,397,693,,,[details],[edit]
SSC-guir,Guiria,Venezuela,10.57,-62.28,,,,,1053,,,[details],[edit]
SSC-guns,Gunsan (Outer Port),South Korea,35.98,126.56,,,,,1527,,,[details],[edit]
SSC-gure,Gureopdo,South Korea,37.19,126.0,,,,,2146,,,[details],[edit]
SSC-gvds,Gavdos,Greece,34.85,24.12,gvd9,gvd9,,,,"2024, 2277, 2278",2276,[details],[edit]
SSC-gwda,Gwadar,Pakistan,25.11,62.34,gwda,gwda,295.0,,1999,,2894,[details],[edit]
SSC-hach,Hachinohe,Japan,40.53,141.53,,,,375,"1266, 460",,,[details],[edit]
SSC-hade,Hadera,Israel,32.47,34.86,hade,,80.0,,1797,2022,2163,[details],[edit]
SSC-hafu,Hafun,Somalia,10.45,51.25,,,6.0,,,,2792,[details],[edit]
SSC-hagi,Hagi,Japan,34.43,131.42,,,,,1306,,,[details],[edit]
SSC-haif,Haifa,Israel,32.82,35.0,,,,,"2221, 798",2619,2618,[details],[edit]
SSC-haik,Haikou,China,20.17,110.28,,,,638,1428,,,[details],[edit]
SSC-hain,Haing Gyi Kyun,Myanmar,16.0,94.32,hain,,,,,,,[details],[edit]
SSC-haka,Hakata,Japan,33.62,130.41,,,,,1094,,,[details],[edit]
SSC-hako,Hakodate,Japan,41.47,140.43,hako,hako,88.0,364,"671, 813",799,"2312, 2755",[details],[edit]
SSC-hald,Haldia,India,22.03,88.1,,,,,1270,,,[details],[edit]
SSC-hali,Halifax,Canada,44.67,-63.58,hali,,222.0,275,96,692,2245,[details],[edit]
SSC-hamb,Hambantota,Sri Lanka,6.12,81.13,hamb,,,,,,,[details],[edit]
SSC-hami,Hamina,Finland,60.56,27.18,,,,,315,2587,2586,[details],[edit]
SSC-hamm,Hammerfest,Norway,70.66,23.68,,,,,758,,,[details],[edit]
SSC-hammq,Hammerhavn,Denmark,55.28,14.77,,,,,1417,,,[details],[edit]
SSC-hana,Hanasaki,Japan,43.28,145.57,hana,hana,,,"139, 1442",,,[details],[edit]
SSC-hanc,Hatteras,United States,35.21,-75.7,,hanc,,,,,,[details],[edit]
SSC-hani,Hanimadhoo,Maldives,6.77,73.17,hani,hani,,117,"1779, 2184",,,[details],[edit]
SSC-hank,Hanko / Hango,Finland,59.82,22.98,,,,,71,,,[details],[edit]
SSC-hans,Hanstholm,Denmark,57.12,8.6,,,,,703,,,[details],[edit]
SSC-haor,Hammond,United States,46.2,-123.95,,haor,,,,,,[details],[edit]
SSC-harb,Hartebeesthoek,South Africa,-25.89,27.69,,,,,,"689, 699",,[details],[edit]
SSC-hari,Haringvliet,Netherlands,51.86,3.86,,,,,1837,,,[details],[edit]
SSC-harl,Harlingen,Netherlands,53.18,5.41,harl,,,,25,,,[details],[edit]
SSC-harr,Harrington Harbour,Canada,50.5,-59.48,,,,,176,,,[details],[edit]
SSC-hars,Harstad,Norway,68.8,16.55,,,,,681,,,[details],[edit]
SSC-harv,Harvest Oil P.,United States,34.47,-120.67,harv,,,594,2124,690,2358,[details],[edit]
SSC-harw,Harwich,United Kingdom,51.95,1.29,harw,,,,"214, 742",,,[details],[edit]
SSC-hats,Hatsushima,Japan,35.04,139.17,,,,,2205,,,[details],[edit]
SSC-haug,Haugesund,Norway,59.42,5.18,,,,,1970,,,[details],[edit]
SSC-hayp,Hay Point,Australia,-21.28,149.3,,,,,"1246, 1256",,,[details],[edit]
SSC-hbay,Herne Bay,United Kingdom,51.38,1.12,hbay,,,,,,,[details],[edit]
SSC-hear,Heard Island,Heard Island and McDonald Islands,-53.02,73.38,,,,,550,,,[details],[edit]
SSC-heim,Heimsjo,Norway,63.43,9.1,,,,,313,,,[details],[edit]
SSC-helg,Helgoland Binnenhafen,Germany,54.18,7.89,helg,,,,"660, 713","3545, 691",2260,[details],[edit]
SSC-helgz,Helgeroa,Norway,59.0,9.86,,,,,1113,,,[details],[edit]
SSC-heli,Heligman,Aland Islands,60.2,19.3,,,,,231,,,[details],[edit]
SSC-hell,Hellevoetsluis,Netherlands,51.82,4.13,,,,,19,,,[details],[edit]
SSC-help,Hel,Poland,54.6,18.8,,,,,146,,,[details],[edit]
SSC-hels,Helsinki,Finland,60.15,24.96,,,,,14,"2709, 2710, 743",2304,[details],[edit]
SSC-hens,Henslung Cove,Canada,54.18,-133.1,"hens, lpbc",lpbc,,,2229,,,[details],[edit]
SSC-herb,L'Herbaudière,France,47.03,2.3,"herb, herb2",herb,,,,,3478,[details],[edit]
SSC-herc,Hercegnovi,Montenegro,42.45,18.53,,,,,806,,,[details],[edit]
SSC-herm,Hermanus,South Africa,-34.43,19.23,,,,,928,2621,2620,[details],[edit]
SSC-heys,Heysham,United Kingdom,54.03,-2.92,heys,,,,936,,,[details],[edit]
SSC-hien,Hienghene,France,-20.69,164.94,hien,hien,,,2237,3562,3170,[details],[edit]
SSC-hieo,ElHierro,Spain,27.78,-17.9,hie2,,,,2051,3143,3142,[details],[edit]
SSC-hilb,Hilbre Island,United Kingdom,53.38,-3.22,,,,,940,,,[details],[edit]
SSC-hill,Hillarys_Harbor,Australia,-31.83,115.74,hill,hill,,,1761,1918,2159,[details],[edit]
SSC-hilo,Hilo,United States,19.73,-155.06,"hilo, hilo2",hilo,287.0,60,300,"2088, 2982",2177,[details],[edit]
SSC-hink,Hinkley Point,United Kingdom,51.21,-3.13,hink,,,,1758,,,[details],[edit]
SSC-hiro,Hiron Point,Bangladesh,21.78,89.47,,,,134,1451,,,[details],[edit]
SSC-hirom,Hirosima,Japan,34.35,132.46,,,,,1028,,,[details],[edit]
SSC-hirt,Hirtshals,Denmark,57.6,9.97,hirt,,,,89,2064,2233,[details],[edit]
SSC-hiva,Hiva Oa,France,-9.8,-139.03,hiva,hiva,,17,"1466, 2240",,3409,[details],[edit]
SSC-hjor,Hjornefjeldet,Greenland,63.42,-41.15,,,,,,2477,,[details],[edit]
SSC-hmda,Hamada,Japan,34.9,132.07,hmda,hmda,326.0,348,"143, 1585, 94",804,"2150, 2740",[details],[edit]
SSC-hoba,Hobart,Australia,-42.88,147.33,,,,339,"838, 964",695,,[details],[edit]
SSC-hoek,Hoek Van Holland,Netherlands,51.98,4.12,hoek,,,,22,,,[details],[edit]
SSC-hofn,Hoefn / Iceland,Iceland,64.27,-15.19,,,,,,696,,[details],[edit]
SSC-hofu,Hofu,Japan,34.05,131.58,,,,,1086,,,[details],[edit]
SSC-hogb,Hog Bay,Australia,-35.67,137.93,,,,,535,,,[details],[edit]
SSC-holy,Holyhead,United Kingdom,53.31,-4.63,"holy, holy2, holyt",,,,5,3241,3242,[details],[edit]
SSC-homm,Hommoku,Japan,35.43,139.67,,,,,1418,,,[details],[edit]
SSC-hond,Hon Dau,Vietnam,20.67,106.82,,,,650,841,,,[details],[edit]
SSC-honn,Honningsvåg,Norway,70.98,25.98,honn,,,801,1267,2091,2453,[details],[edit]
SSC-honnq,Honngu,Vietnam,18.8,105.77,,,,,1003,,,[details],[edit]
SSC-hono,Honolulu,United States,21.31,-157.87,"hono, hono2, htst",hono,108.0,"26, 27, 57","155, 2030","3043, 693",2270,[details],[edit]
SSC-hont,Honto,Russia,46.68,141.85,,,,,241,,,[details],[edit]
SSC-horn,Hörnum,Germany,54.76,8.3,horn,,,,,"2001, 2002, 3552",2261,[details],[edit]
SSC-hornm,Hornbaek,Denmark,56.09,12.46,,,,838,119,,,[details],[edit]
SSC-hort,Horta,Portugal,38.53,-28.62,,,,212,156,,,[details],[edit]
SSC-hortx,Horten,Norway,59.42,10.48,,,,,1972,,,[details],[edit]
SSC-hoso,Hosojima,Japan,32.42,131.68,,,,358,133,793,2310,[details],[edit]
SSC-hout,Hout Bay,South Africa,-34.05,18.35,,,,,774,,,[details],[edit]
SSC-hove,Hovell Pile,Australia,-38.33,144.86,,,,,1777,,,[details],[edit]
SSC-hrms,Hermosillo,Mexico,29.09,-110.97,,,,,,3067,,[details],[edit]
SSC-huahi,Huahine island,France,-16.72,-151.03,huahi,huah,,,,,3172,[details],[edit]
SSC-huas,Huasco,Chile,-28.46,-71.22,"huas2, huas3",huas,,,,,,[details],[edit]
SSC-huat,Huatulco,Mexico,15.75,-96.12,"huat, huat2",huat,,,,,,[details],[edit]
SSC-huel,Huelva5,Spain,37.13,-6.83,huel,,,,1883,"1923, 3458",2173,[details],[edit]
SSC-hull,Hull,United Kingdom,53.73,-0.35,,,,,1435,,,[details],[edit]
SSC-hullq,Hull,Kiribati,-4.48,-172.17,,,,,1965,,,[details],[edit]
SSC-humb,Humble Oil Platform,United States,29.17,-89.92,,,,,576,,,[details],[edit]
SSC-hupo,Hupo,South Korea,36.68,129.45,,,,,1923,,,[details],[edit]
SSC-husu,Husum,Germany,54.48,9.07,,,,,659,,,[details],[edit]
SSC-hyde,National Geophysical Research Institute,Indonesia,17.42,78.55,,,,,,700,,[details],[edit]
SSC-iaix,Ile d'Aix,France,46.01,-1.17,iaix,,,,2236,3005,3004,[details],[edit]
SSC-ibiz,Ibiza2,Spain,38.92,1.45,ibiz,,,,1932,942,2191,[details],[edit]
SSC-iglo,Igloolik,Canada,69.38,-81.8,,,,,1419,,,[details],[edit]
SSC-igne,Igneda,Turkey,41.88,28.02,,,,,1926,,,[details],[edit]
SSC-iisc,Indian Institute Of Science,Iceland,13.02,77.57,,,,,,701,,[details],[edit]
SSC-ijmu,Ijmuiden,Netherlands,52.46,4.55,,,,,32,2238,2237,[details],[edit]
SSC-iler,Ile Royale,France,5.28,-52.59,"iler, iler2",iler,,,,"3414, 714","1867, 3173",[details],[edit]
SSC-ilet,Ilet La Mere,French Guiana,4.89,-52.19,,,,,2243,,3174,[details],[edit]
SSC-ilfa,Ilfracombe,United Kingdom,51.21,-4.11,ilfa,,,,1214,,,[details],[edit]
SSC-ilha,Ilha Guaiba,Brazil,-23.0,-44.03,,,,,1974,,,[details],[edit]
SSC-iloi,"Iloilo, Panay",Philippines,10.7,122.57,,,,,151,,,[details],[edit]
SSC-ilul,Ilulissat,Denmark,69.22,-51.1,,,,298,1820,,,[details],[edit]
SSC-imbi,Imbituba,Brazil,-28.23,-48.65,,,351.0,718,"1916, 542",2043,2349,[details],[edit]
SSC-immi,Immingham,United Kingdom,53.63,-0.19,immi,,,,286,,,[details],[edit]
SSC-impr,Imperia,Italy,43.88,8.02,"IM01, im02",im02,,,"108, 2078",,,[details],[edit]
SSC-impz,Imperatriz,Brazil,-5.49,-47.5,,,,,,3077,,[details],[edit]
SSC-imuj,Isla Mujeres,Mexico,21.22,-86.72,imuj,imuj,,,2179,,,[details],[edit]
SSC-inav,Isla Naval,Colombia,10.18,-75.75,"inav, inav2",,,,,,,[details],[edit]
SSC-ince,Ince Point,Australia,-10.51,142.31,,,,,1300,,,[details],[edit]
SSC-inch,Incheon,South Korea,37.45,126.59,,,,,956,"2498, 2910",2497,[details],[edit]
SSC-indi,Indian River Inlet,United States,38.61,-75.07,,,,,1337,,,[details],[edit]
SSC-inha,Inhambane,Mozambique,-23.92,35.5,inha,inha,10.0,900,"1997, 2226",2958,2795,[details],[edit]
SSC-inno,Innokentievka,Russia,48.62,140.15,,,,,530,,,[details],[edit]
SSC-inou,Inoucdjouac,Canada,58.45,-78.1,,,,,1283,,,[details],[edit]
SSC-inve,Invergordon,United Kingdom,57.68,-4.17,,,,,944,,,[details],[edit]
SSC-invk,Inuvik,Canada,68.31,-133.53,,,,,,2420,,[details],[edit]
SSC-iqui,Iquique,Chile,-20.2,-70.15,"iqui, iqui2",iqui,,,1963,,,[details],[edit]
SSC-iquig,Iquitos,Peru,-3.77,-73.27,,,,,,3088,,[details],[edit]
SSC-irak,Iraklion,Greece,35.35,25.15,,,,,"2165, 634",,,[details],[edit]
SSC-irkj,Irkutsk,Russia,52.22,104.32,,,,,,"2421, 702",,[details],[edit]
SSC-isab,Isabel Segunda,Puerto Rico,18.15,-65.44,isab,,,"732, 733","2209, 2210",,,[details],[edit]
SSC-isabz,Isabela De Sagua,Cuba,22.93,-80.02,,,,,1909,,,[details],[edit]
SSC-isac,Isachenko (Isachenko Ostrov),Russia,77.15,89.2,,,,,734,,,[details],[edit]
SSC-ishig,Ishigakijima,Japan,24.2,124.1,ishig,ishi,,365,"1411, 1671",3063,"3061, 3062",[details],[edit]
SSC-iske,Iskenderun,Turkey,36.62,36.12,iske,,,,"2020, 697",,,[details],[edit]
SSC-isla,Isla Guadalupe,Mexico,28.88,-118.3,,,160.0,36,"1413, 1991",2295,2296,[details],[edit]
SSC-islae,Isla Martin Garcia,Argentina,-34.18,-58.25,,,,,864,,,[details],[edit]
SSC-islaj,Islay (Port Ellen),United Kingdom,55.63,-6.19,,,,,1772,,,[details],[edit]
SSC-itap,Itaparica,Brazil,-12.87,-38.68,,,196.0,,,,,[details],[edit]
SSC-itit,Isole Tremiti,Italy,42.12,15.5,IT45,,,,2248,,,[details],[edit]
SSC-itoi,Itoi,Japan,34.97,139.12,,,,,"1343, 876",784,"2126, 2760",[details],[edit]
SSC-izuh,Izuhara,Japan,34.2,129.3,,,,,"1586, 661",,,[details],[edit]
